OWNER,TITLE,NAME,MAPGEO,TREE,GROUP,ABSTRACT,KEYWORDS,LEGEND,CONTACT,SERVICELINK,METADATA,UPDATE,SERVICETYPE,MAX_ZOOM,CENTER_LAT,CENTER_LON,BBOX
KT_AI,Abwasser Werkplan Gde,ch.geoportal.ver_entsorgung_kommunikation.205.0.abwasser_werkplan_gde,n.a.,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Diese Karte zeigt die Werkleitungen der Abwasserentsorgung an. Es wird die Strassenentwässerung und Liegenschaftsentwässerung (teilweise mit Hausanschluss) sowie das Kanalisationsnetz dargestellt. Darin ersichtlich sind unter anderem Leitungen mit Schmutzabwasser, Mischabwasser, Regenabwasser, Meteorwasser sowie Versickerungsanlagen, Kontrollschächte, Einlaufschächte und Ölabscheider. WMS Service Geoportal - Kanton Appenzell Innerrhoden",[],https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.ver_entsorgung_kommunikation.205.0.abwasser_werkplan_gde&mapId=205&filterIds=&format=image/png,support@geoportal.ch,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,,OGC:WFS,,47.339,9.4645,9.297 47.225 9.632 47.453
KT_AI,Amphibienvorkommen Kt,ch.geoportal.wald_flora_fauna.53.0.amphibienvorkommen_kt,n.a.,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Diese Karte zeigt die Amphibienvorkommen in den Kantonen SG, AR und AI. WMS Service Geoportal - Kanton Appenzell Innerrhoden",[],https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.wald_flora_fauna.53.0.amphibienvorkommen_kt&mapId=53&filterIds=&format=image/png,support@geoportal.ch,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,,OGC:WFS,,47.339,9.4645,9.297 47.225 9.632 47.453
KT_AI,Amtliche Vermessung farbig Gde,ch.geoportal.basiskarten_bodenbedeckung_bilddaten.104.0.amtliche_vermessung_farbig_gde,n.a.,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Diese Karte zeigt in roter Farbe den pendenten, bzw. projektierten Stand der amtlichen Vermessung und in schwarz, bzw. farbig deren aktuellen, rechtsgültigen Stand und den kommunalen Übersichtsplan sowie die Landeskarten von swisstopo 1:50'000 bis 1:1'000'000 in farbiger Darstellung an. WMS Service Geoportal - Kanton Appenzell Innerrhoden",[],https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.basiskarten_bodenbedeckung_bilddaten.104.0.amtliche_vermessung_farbig_gde&mapId=104&filterIds=&format=image/png,support@geoportal.ch,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,,OGC:WFS,,47.339,9.4645,9.297 47.225 9.632 47.453
KT_AI,Amtliche Vermessung Gde,ch.geoportal.basiskarten_bodenbedeckung_bilddaten.40.0.amtliche_vermessung_gde,n.a.,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Diese Karte zeigt in roter Farbe den pendenten, bzw. projektierten Stand der amtlichen Vermessung und in schwarz/weisser Darstellung deren aktuellen, rechtsgültigen Stand, mit Graustufenfüllung der Gebäude, sowie den kommunalen Übersichtsplan und die Landeskarten von swisstopo 1:50'000 bis 1:1'000'000 in Graustufen an. WMS Service Geoportal - Kanton Appenzell Innerrhoden",[],https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.basiskarten_bodenbedeckung_bilddaten.40.0.amtliche_vermessung_gde&mapId=40&filterIds=&format=image/png,support@geoportal.ch,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,,OGC:WFS,,47.339,9.4645,9.297 47.225 9.632 47.453
KT_AI,Amtliche Vermessung Gde Kt AR,ch.geoportal.basiskarten_bodenbedeckung_bilddaten.1265.0.amtliche_vermessung_gde_kt_ar,n.a.,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Diese Karte zeigt in roter Farbe den pendenten, bzw. projektierten Stand der amtlichen Vermessung und in schwarz/weisser Darstellung deren aktuellen, rechtsgültigen Stand, mit Graustufenfüllung der Gebäude, sowie den kommunalen Übersichtsplan und die Landeskarten von swisstopo 1:50'000 bis 1:1'000'000 in Graustufen an. WMS Service Geoportal - Kanton Appenzell Innerrhoden",[],https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.basiskarten_bodenbedeckung_bilddaten.1265.0.amtliche_vermessung_gde_kt_ar&mapId=1265&filterIds=&format=image/png,support@geoportal.ch,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,,OGC:WFS,,47.339,9.4645,9.297 47.225 9.632 47.453
KT_AI,Amtliche Vermessung grau Gde,ch.geoportal.basiskarten_bodenbedeckung_bilddaten.81.0.amtliche_vermessung_grau_gde,n.a.,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Diese Karte zeigt in roter Farbe den pendenten, bzw. projektierten Stand der amtlichen Vermessung und in grau/weisser Darstellung deren aktuellen, rechtsgültigen Stand, mit Graustufenfüllung der Gebäude, sowie den kommunalen Übersichtsplan und die Landeskarten von swisstopo 1:50'000 bis 1:1'000'000 in Graustufen an. WMS Service Geoportal - Kanton Appenzell Innerrhoden",[],https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.basiskarten_bodenbedeckung_bilddaten.81.0.amtliche_vermessung_grau_gde&mapId=81&filterIds=&format=image/png,support@geoportal.ch,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,,OGC:WFS,,47.339,9.4645,9.297 47.225 9.632 47.453
KT_AI,Amtliche Vermessung grau Kt AR,ch.geoportal.basiskarten_bodenbedeckung_bilddaten.1263.0.amtliche_vermessung_grau_kt_ar,n.a.,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Diese Karte zeigt in roter Farbe den pendenten, bzw. projektierten Stand der amtlichen Vermessung und in grau/weisser Darstellung deren aktuellen, rechtsgültigen Stand, mit Graustufenfüllung der Gebäude, sowie den kommunalen Übersichtsplan und die Landeskarten von swisstopo 1:50'000 bis 1:1'000'000 in Graustufen an. WMS Service Geoportal - Kanton Appenzell Innerrhoden",[],https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.basiskarten_bodenbedeckung_bilddaten.1263.0.amtliche_vermessung_grau_kt_ar&mapId=1263&filterIds=&format=image/png,support@geoportal.ch,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,,OGC:WFS,,47.339,9.4645,9.297 47.225 9.632 47.453
KT_AI,"Amtliche Vermessung, Hintergrund Gde",ch.geoportal.basiskarten_bodenbedeckung_bilddaten.1238.0.amtliche_vermessung_hintergrund_gde,n.a.,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Diese Karte zeigt in roter Farbe den pendenten, bzw. projektierten Stand der amtlichen Vermessung und in schwarz/weisser Darstellung deren aktuellen, rechtsgültigen Stand, mit Graustufenfüllung der Gebäude, sowie den kommunalen Übersichtsplan und die Landeskarten von swisstopo 1:50'000 bis 1:1'000'000 in Graustufen an. WMS Service Geoportal - Kanton Appenzell Innerrhoden",[],https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.basiskarten_bodenbedeckung_bilddaten.1238.0.amtliche_vermessung_hintergrund_gde&mapId=1238&filterIds=&format=image/png,support@geoportal.ch,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,,OGC:WFS,,47.339,9.4645,9.297 47.225 9.632 47.453
KT_AI,"AV, Gebiete mit dauernden Bodenverschiebungen",ch.geoportal.basiskarten_bodenbedeckung_bilddaten.1319.0.av_gebiete_mit_dauernden_bodenverschiebungen,n.a.,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,Diese Karte zeigt Gebiete mit dauernden Bodenverschiebungen (Rutschgebiete) nach Art. 660a ZGB. WMS Service Geoportal - Kanton Appenzell Innerrhoden,[],https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.basiskarten_bodenbedeckung_bilddaten.1319.0.av_gebiete_mit_dauernden_bodenverschiebungen&mapId=1319&filterIds=&format=image/png,support@geoportal.ch,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,,OGC:WFS,,47.339,9.4645,9.297 47.225 9.632 47.453
KT_AI,Bestandeskarte 2019 Kt AR/AI,ch.geoportal.wald_flora_fauna.1603.0.bestandeskarte_2019_kt_arai,n.a.,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Die Waldbestandeskarte dient der forstlichen Planung. Bestände unterscheiden sich in der Baumartenzusammensetzung, dem Bestandesalter und dem Aufbau (Entwicklungsstufe, Deckungsgrad, Mischung). WMS Service Geoportal - Kanton Appenzell Innerrhoden",[],https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.wald_flora_fauna.1603.0.bestandeskarte_2019_kt_arai&mapId=1603&filterIds=&format=image/png,support@geoportal.ch,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,,OGC:WFS,,47.339,9.4645,9.297 47.225 9.632 47.453
